group_generation,code,Wege,activity,group_dest_mode,group_erzeugung,rate
RAhPM,WAW,0.06579148064377045,N,RAhP,RAm,0.032895740321885227
RAoPM,WAW,0.06579148064377045,N,RAoP,RAm,0.032895740321885227
RAePM,WBW,0.20628030436036648,N,RAeP,RAm,0.10314015218018324
RAhPM,WBW,0.20628030436036648,N,RAhP,RAm,0.10314015218018324
RAoPM,WBW,0.20628030436036648,N,RAoP,RAm,0.10314015218018324
RAePM,WEW,0.13615125192457891,N,RAeP,RAm,0.06807562596228946
RAhPM,WEW,0.13615125192457891,N,RAhP,RAm,0.06807562596228946
RAoPM,WEW,0.13615125192457891,N,RAoP,RAm,0.06807562596228946
RAePM,WFW,0.27859871705678835,N,RAeP,RAm,0.13929935852839415
RAhPM,WFW,0.27859871705678835,N,RAhP,RAm,0.13929935852839415
RAoPM,WFW,0.27859871705678835,N,RAoP,RAm,0.13929935852839415
RAePM,WOW,0.26757527929630937,N,RAeP,RAm,0.13378763964815468
RAhPM,WOW,0.26757527929630937,N,RAhP,RAm,0.13378763964815468
RAoPM,WOW,0.26757527929630937,N,RAoP,RAm,0.13378763964815468
RAePM,WRW,0.08862860422558481,N,RAeP,RAm,0.044314302112792414
RAhPM,WRW,0.08862860422558481,N,RAhP,RAm,0.044314302112792414
RAoPM,WRW,0.08862860422558481,N,RAoP,RAm,0.044314302112792414
RAePM,WSW,0.12216066663140285,N,RAeP,RAm,0.061080333315701424
RAhPM,WSW,0.12216066663140285,N,RAhP,RAm,0.061080333315701424
RAoPM,WSW,0.12216066663140285,N,RAoP,RAm,0.061080333315701424
RAePM,WTW,0.031604542309457584,N,RAeP,RAm,0.015802271154728792
RAhPM,WTW,0.031604542309457584,N,RAhP,RAm,0.015802271154728792
RAoPM,WTW,0.031604542309457584,N,RAoP,RAm,0.015802271154728792
RAePM,WVW,0.17501380823271004,N,RAeP,RAm,0.08750690411635502
RAhPM,WVW,0.17501380823271004,N,RAhP,RAm,0.08750690411635502
RAoPM,WVW,0.17501380823271004,N,RAoP,RAm,0.08750690411635502
RAePM,WBBW,0.1251155905668586,N,RAeP,RAm,0.041705196855619533
RAhPM,WBBW,0.1251155905668586,N,RAhP,RAm,0.041705196855619533
RAoPM,WBBW,0.1251155905668586,N,RAoP,RAm,0.041705196855619533
RAePM,WEVW,0.0830360370944165,N,RAeP,RAm,0.02767867903147217
RAhPM,WEVW,0.0830360370944165,N,RAhP,RAm,0.02767867903147217
RAoPM,WEVW,0.0830360370944165,N,RAoP,RAm,0.02767867903147217
RAePM,WFBW,0.11505221663638045,N,RAeP,RAm,0.038350738878793485
RAhPM,WFBW,0.11505221663638045,N,RAhP,RAm,0.038350738878793485
RAoPM,WFBW,0.11505221663638045,N,RAoP,RAm,0.038350738878793485
RAePM,WOOW,0.3571299218511901,N,RAeP,RAm,0.11904330728373005
RAhPM,WOOW,0.3571299218511901,N,RAhP,RAm,0.11904330728373005
RAoPM,WOOW,0.3571299218511901,N,RAoP,RAm,0.11904330728373005
RAePM,WVVW,0.2424304992349189,N,RAeP,RAm,0.08081016641163963
RAhPM,WVVW,0.2424304992349189,N,RAhP,RAm,0.08081016641163963
RAoPM,WVVW,0.2424304992349189,N,RAoP,RAm,0.08081016641163963
RAePM,WVOW,0.2298934288642724,N,RAeP,RAm,0.07663114295475748
RAhPM,WVOW,0.2298934288642724,N,RAhP,RAm,0.07663114295475748
RAoPM,WVOW,0.2298934288642724,N,RAoP,RAm,0.07663114295475748
RAePM,WVEW,0.04918695190943143,N,RAeP,RAm,0.016395650636477143
RAhPM,WVEW,0.04918695190943143,N,RAhP,RAm,0.016395650636477143
RAoPM,WVEW,0.04918695190943143,N,RAoP,RAm,0.016395650636477143
RAePM,WVOW,0.18534400093498896,N,RAeP,RAm,0.06178133364499633
RAhPM,WVOW,0.18534400093498896,N,RAhP,RAm,0.06178133364499633
RAoPM,WVOW,0.18534400093498896,N,RAoP,RAm,0.06178133364499633
NEePW,WAW,0.03830013587855355,N,NEeP,NEf,0.01915006793927677
NEhPW,WAW,0.03830013587855355,N,NEhP,NEf,0.01915006793927677
NEoPW,WAW,0.03830013587855355,N,NEoP,NEf,0.01915006793927677
NEePW,WBW,0.27262488205922913,N,NEeP,NEf,0.13631244102961454
NEhPW,WBW,0.27262488205922913,N,NEhP,NEf,0.13631244102961454
NEoPW,WBW,0.27262488205922913,N,NEoP,NEf,0.13631244102961454
NEePW,WEW,0.07324477157697866,N,NEeP,NEf,0.03662238578848933
NEhPW,WEW,0.07324477157697866,N,NEhP,NEf,0.03662238578848933
NEoPW,WEW,0.07324477157697866,N,NEoP,NEf,0.03662238578848933
NEePW,WFW,0.1701896951264306,N,NEeP,NEf,0.0850948475632153
NEhPW,WFW,0.1701896951264306,N,NEhP,NEf,0.0850948475632153
NEoPW,WFW,0.1701896951264306,N,NEoP,NEf,0.0850948475632153
NEePW,WGW,0.14991342195635726,N,NEeP,NEf,0.07495671097817863
NEhPW,WGW,0.14991342195635726,N,NEhP,NEf,0.07495671097817863
NEoPW,WGW,0.14991342195635726,N,NEoP,NEf,0.07495671097817863
NEePW,WKW,0.4320220047231419,N,NEeP,NEf,0.21601100236157092
NEhPW,WKW,0.4320220047231419,N,NEhP,NEf,0.21601100236157092
NEoPW,WKW,0.4320220047231419,N,NEoP,NEf,0.21601100236157092
NEePW,WMW,0.1785133305574221,N,NEeP,NEf,0.08925666527871105
NEhPW,WMW,0.1785133305574221,N,NEhP,NEf,0.08925666527871105
NEoPW,WMW,0.1785133305574221,N,NEoP,NEf,0.08925666527871105
NEePW,WOW,0.2877087106374735,N,NEeP,NEf,0.14385435531873675
NEhPW,WOW,0.2877087106374735,N,NEhP,NEf,0.14385435531873675
NEoPW,WOW,0.2877087106374735,N,NEoP,NEf,0.14385435531873675
NEePW,WRW,0.034644854855188006,N,NEeP,NEf,0.017322427427594003
NEhPW,WRW,0.034644854855188006,N,NEhP,NEf,0.017322427427594003
NEoPW,WRW,0.034644854855188006,N,NEoP,NEf,0.017322427427594003
NEePW,WSW,0.22321229731923334,N,NEeP,NEf,0.11160614865961667
NEhPW,WSW,0.22321229731923334,N,NEhP,NEf,0.11160614865961667
NEoPW,WSW,0.22321229731923334,N,NEoP,NEf,0.11160614865961667
NEePW,WVW,0.23441680856848734,N,NEeP,NEf,0.11720840428424367
NEhPW,WVW,0.23441680856848734,N,NEhP,NEf,0.11720840428424367
NEoPW,WVW,0.23441680856848734,N,NEoP,NEf,0.11720840428424367
NEePW,WBBW,0.13516987620336884,N,NEeP,NEf,0.04505662540112295
NEhPW,WBBW,0.13516987620336884,N,NEhP,NEf,0.04505662540112295
NEoPW,WBBW,0.13516987620336884,N,NEoP,NEf,0.04505662540112295
NEePW,WBVW,0.06418671038538504,N,NEeP,NEf,0.02139557012846168
NEhPW,WBVW,0.06418671038538504,N,NEhP,NEf,0.02139557012846168
NEoPW,WBVW,0.06418671038538504,N,NEoP,NEf,0.02139557012846168
NEePW,WEEW,0.1829491045185452,N,NEeP,NEf,0.06098303483951506
NEhPW,WEEW,0.1829491045185452,N,NEhP,NEf,0.06098303483951506
NEoPW,WEEW,0.1829491045185452,N,NEoP,NEf,0.06098303483951506
NEePW,WFFW,0.21070468796184366,N,NEeP,NEf,0.07023489598728122
NEhPW,WFFW,0.21070468796184366,N,NEhP,NEf,0.07023489598728122
NEoPW,WFFW,0.21070468796184366,N,NEoP,NEf,0.07023489598728122
NEePW,WFBW,0.09509377107385153,N,NEeP,NEf,0.03169792369128385
NEhPW,WFBW,0.09509377107385153,N,NEhP,NEf,0.03169792369128385
NEoPW,WFBW,0.09509377107385153,N,NEoP,NEf,0.03169792369128385
NEePW,WFVW,0.049751540635255366,N,NEeP,NEf,0.01658384687841846
NEhPW,WFVW,0.049751540635255366,N,NEhP,NEf,0.01658384687841846
NEoPW,WFVW,0.049751540635255366,N,NEoP,NEf,0.01658384687841846
NEePW,WGBW,0.0853416196937443,N,NEeP,NEf,0.028447206564581436
NEhPW,WGBW,0.0853416196937443,N,NEhP,NEf,0.028447206564581436
NEoPW,WGBW,0.0853416196937443,N,NEoP,NEf,0.028447206564581436
NEePW,WKBW,0.1269361494842611,N,NEeP,NEf,0.04231204982808704
NEhPW,WKBW,0.1269361494842611,N,NEhP,NEf,0.04231204982808704
NEoPW,WKBW,0.1269361494842611,N,NEoP,NEf,0.04231204982808704
NEePW,WKVW,0.10499100637381034,N,NEeP,NEf,0.034997002124603445
NEhPW,WKVW,0.10499100637381034,N,NEhP,NEf,0.034997002124603445
NEoPW,WKVW,0.10499100637381034,N,NEoP,NEf,0.034997002124603445
NEePW,WMBW,0.007290744651633531,N,NEeP,NEf,0.002430248217211177
NEhPW,WMBW,0.007290744651633531,N,NEhP,NEf,0.002430248217211177
NEoPW,WMBW,0.007290744651633531,N,NEoP,NEf,0.002430248217211177
NEePW,WOOW,0.2138178835895496,N,NEeP,NEf,0.07127262786318317
NEhPW,WOOW,0.2138178835895496,N,NEhP,NEf,0.07127262786318317
NEoPW,WOOW,0.2138178835895496,N,NEoP,NEf,0.07127262786318317
NEePW,WVVW,0.2102883577765874,N,NEeP,NEf,0.07009611925886247
NEhPW,WVVW,0.2102883577765874,N,NEhP,NEf,0.07009611925886247
NEoPW,WVVW,0.2102883577765874,N,NEoP,NEf,0.07009611925886247
NEePW,WVOW,0.13791923164689224,N,NEeP,NEf,0.04597307721563074
